,Pattern,distortion,score
0,p1,0.0,100
1,p1,0.05,100
2,p1,0.1,100
3,p1,0.15,100
4,p1,0.2,100
5,p1,0.25,100
6,p1,0.3,100
7,p1,0.35,100
8,p1,0.4,100
9,p1,0.45,100
10,p1,0.5,45
11,p1,0.55,0
12,p1,0.6,0
13,p1,0.65,0
14,p1,0.7,0
15,p1,0.75,0
16,p1,0.8,0
17,p1,0.85,0
18,p1,0.9,0
19,p1,0.95,0
20,p1,1.0,0
21,p2,0.0,100
22,p2,0.05,100
23,p2,0.1,100
24,p2,0.15,100
25,p2,0.2,100
26,p2,0.25,100
27,p2,0.3,100
28,p2,0.35,100
29,p2,0.4,100
30,p2,0.45,100
31,p2,0.5,9
32,p2,0.55,0
33,p2,0.6,0
34,p2,0.65,0
35,p2,0.7,0
36,p2,0.75,0
37,p2,0.8,0
38,p2,0.85,0
39,p2,0.9,0
40,p2,0.95,0
41,p2,1.0,0
42,p3,0.0,100
43,p3,0.05,100
44,p3,0.1,93
45,p3,0.15,49
46,p3,0.2,11
47,p3,0.25,1
48,p3,0.3,0
49,p3,0.35,0
50,p3,0.4,0
51,p3,0.45,0
52,p3,0.5,0
53,p3,0.55,0
54,p3,0.6,0
55,p3,0.65,0
56,p3,0.7,0
57,p3,0.75,0
58,p3,0.8,0
59,p3,0.85,0
60,p3,0.9,0
61,p3,0.95,0
62,p3,1.0,0
