,Number of patterns,noise level,recall accuracy rate,perfect recall rate
0,1,0.00,1.0,1.0
1,2,0.00,1.0,1.0
2,3,0.00,1.0,1.0
3,4,0.00,1.0,1.0
4,5,0.00,1.0,1.0
5,6,0.00,1.0,1.0
6,7,0.00,1.0,1.0
7,8,0.00,1.0,1.0
8,9,0.00,1.0,1.0
9,10,0.00,1.0,1.0
10,11,0.00,1.0,1.0
11,12,0.00,1.0,1.0
12,13,0.00,1.0,1.0
13,14,0.00,1.0,1.0
14,15,0.00,1.0,1.0
15,16,0.00,1.0,1.0
16,17,0.00,1.0,1.0
17,18,0.00,1.0,1.0
18,19,0.00,1.0,1.0
19,20,0.00,1.0,1.0
20,21,0.00,1.0,1.0
21,22,0.00,1.0,1.0
22,23,0.00,1.0,1.0
23,24,0.00,1.0,1.0
24,25,0.00,1.0,1.0
25,26,0.00,1.0,1.0
26,27,0.00,1.0,1.0
27,28,0.00,1.0,1.0
28,29,0.00,1.0,1.0
29,30,0.00,1.0,1.0
30,31,0.00,1.0,1.0
31,32,0.00,1.0,1.0
32,33,0.00,1.0,1.0
33,34,0.00,1.0,1.0
34,35,0.00,1.0,1.0
35,36,0.00,1.0,1.0
36,37,0.00,1.0,1.0
37,38,0.00,1.0,1.0
38,39,0.00,1.0,1.0
39,40,0.00,1.0,1.0
40,41,0.00,1.0,1.0
41,42,0.00,1.0,1.0
42,43,0.00,1.0,1.0
43,44,0.00,1.0,1.0
44,45,0.00,1.0,1.0
45,46,0.00,1.0,1.0
46,47,0.00,1.0,1.0
47,48,0.00,1.0,1.0
48,49,0.00,0.9999800701530612,0.9795918367346939
49,50,0.00,1.0,1.0
50,51,0.00,1.0,1.0
51,52,0.00,1.0,1.0
52,53,0.00,1.0,1.0
53,54,0.00,1.0,1.0
54,55,0.00,1.0,1.0
55,56,0.00,1.0,1.0
56,57,0.00,0.9999657346491229,0.9649122807017544
57,58,0.00,1.0,1.0
58,59,0.00,1.0,1.0
59,60,0.00,0.9999837239583333,0.9833333333333333
60,61,0.00,1.0,1.0
61,62,0.00,0.999968497983871,0.967741935483871
62,63,0.00,0.9999844990079365,0.9841269841269841
63,64,0.00,1.0,1.0
64,65,0.00,0.9999849759615385,0.9846153846153847
65,66,0.00,0.9999852035984849,0.9848484848484849
66,67,0.00,0.999941697761194,0.9402985074626866
67,68,0.00,0.9999712775735294,0.9852941176470589
68,69,0.00,0.9999575407608695,0.9565217391304348
69,70,0.00,0.9999581473214286,0.9571428571428572
70,71,0.00,0.9998899647887324,0.8873239436619719
71,72,0.00,0.9998914930555556,0.9166666666666666
72,73,0.00,0.9999331121575342,0.9452054794520548
73,74,0.00,0.9998548353040541,0.8513513513513513
74,75,0.00,0.9998958333333333,0.9066666666666666
75,76,0.00,0.9999357524671053,0.9473684210526315
76,77,0.00,0.9998604910714286,0.8701298701298701
77,78,0.00,0.9997495993589743,0.8076923076923077
78,79,0.00,0.9999134691455697,0.9240506329113924
79,80,0.00,0.99984130859375,0.875
80,81,0.00,0.9996624228395061,0.7777777777777778
81,82,0.00,0.9997022675304879,0.8170731707317073
82,83,0.00,0.9997882153614458,0.8313253012048193
83,84,0.00,0.9995698474702381,0.7023809523809523
84,85,0.00,0.9997012867647059,0.7647058823529411
85,86,0.00,0.9995457848837209,0.7441860465116279
86,87,0.00,0.9994948814655172,0.7471264367816092
87,88,0.00,0.9996559836647727,0.7613636363636364
88,89,0.00,0.999681794241573,0.7640449438202247
89,90,0.00,0.9995985243055555,0.7333333333333333
90,91,0.00,0.9995385473901099,0.6813186813186813
91,92,0.00,0.9994586447010869,0.7391304347826086
92,93,0.00,0.9992754536290323,0.6129032258064516
93,94,0.00,0.9994389960106383,0.7021276595744681
94,95,0.00,0.9991056743421053,0.4842105263157895
95,96,0.00,0.9990743001302084,0.5625
96,97,0.00,0.9991643846649485,0.5154639175257731
97,98,0.00,0.9994120695153061,0.6530612244897959
98,99,0.00,0.9991911300505051,0.5656565656565656
99,100,0.00,0.99935546875,0.64
100,101,0.00,0.9989170792079208,0.49504950495049505
101,102,0.00,0.9978936887254902,0.5
102,103,0.00,0.998511453276699,0.34951456310679613
103,104,0.00,0.9987605168269231,0.5096153846153846
104,105,0.00,0.9988560267857143,0.45714285714285713
105,106,0.00,0.9989589475235849,0.46226415094339623
106,107,0.00,0.9985670998831776,0.3925233644859813
107,108,0.00,0.9984989872685185,0.42592592592592593
108,109,0.00,0.9986381880733946,0.3944954128440367
109,110,0.00,0.9983043323863636,0.42727272727272725
110,111,0.00,0.9933312218468469,0.32432432432432434
111,112,0.00,0.99798583984375,0.3482142857142857
112,113,0.00,0.9976061255530974,0.3805309734513274
113,114,0.00,0.9980554413377193,0.2631578947368421
114,115,0.00,0.9968834918478261,0.28695652173913044
115,116,0.00,0.9977185479525862,0.25862068965517243
116,117,0.00,0.9974959935897436,0.23076923076923078
117,118,0.00,0.9966565148305084,0.2542372881355932
118,119,0.00,0.9960527179621849,0.29411764705882354
119,120,0.00,0.9961669921875,0.2916666666666667
120,121,0.00,0.9964004390495868,0.2066115702479339
121,122,0.00,0.9969342341188525,0.1885245901639344
122,123,0.00,0.9966812754065041,0.11382113821138211
123,124,0.00,0.9968734248991935,0.18548387096774194
124,125,0.00,0.9941953125,0.184
125,126,0.00,0.9950939360119048,0.1111111111111111
126,127,0.00,0.995847687007874,0.12598425196850394
127,128,0.00,0.9939651489257812,0.171875
128,129,0.00,0.9935350048449613,0.16279069767441862
129,130,0.00,0.9934795673076923,0.14615384615384616
130,131,0.00,0.9890565362595419,0.0916030534351145
131,132,0.00,0.9803059895833334,0.09848484848484848
132,133,0.00,0.992429804981203,0.045112781954887216
133,134,0.00,0.9848997201492538,0.07462686567164178
134,135,0.00,0.9857566550925926,0.05925925925925926
135,136,0.00,0.9837646484375,0.03676470588235294
136,137,0.00,0.9594334511861314,0.06569343065693431
137,138,0.00,0.9752604166666666,0.036231884057971016
138,139,0.00,0.9787123426258992,0.06474820143884892
139,140,0.00,0.9818568638392857,0.05714285714285714
140,141,0.00,0.9825603945035462,0.09929078014184398
141,142,0.00,0.9817410321302817,0.07746478873239436
142,143,0.00,0.9758317854020979,0.04195804195804196
143,144,0.00,0.9772474500868056,0.034722222222222224
144,145,0.00,0.9703596443965518,0.020689655172413793
145,146,0.00,0.948161922089041,0.0273972602739726
146,147,0.00,0.9635416666666666,0.02040816326530612
147,148,0.00,0.9651538745777027,0.02027027027027027
148,149,0.00,0.933849360318792,0.006711409395973154
149,150,0.00,0.9549153645833334,0.03333333333333333
150,151,0.00,0.9708454056291391,0.0
151,152,0.00,0.9499061986019737,0.02631578947368421
152,153,0.00,0.9411445567810458,0.013071895424836602
153,154,0.00,0.9177468039772727,0.025974025974025976
154,155,0.00,0.9092363911290322,0.012903225806451613
155,156,0.00,0.9190579927884616,0.038461538461538464
156,157,0.00,0.9108964470541401,0.012738853503184714
157,158,0.00,0.9138956190664557,0.012658227848101266
158,159,0.00,0.9287047955974843,0.0
159,160,0.00,0.891241455078125,0.0125
160,161,0.00,0.8847534937888198,0.0
161,162,0.00,0.9074556327160493,0.006172839506172839
162,163,0.00,0.8831839532208589,0.006134969325153374
163,164,0.00,0.8684498856707317,0.006097560975609756
164,165,0.00,0.8823863636363637,0.012121212121212121
165,166,0.00,0.8329901637801205,0.012048192771084338
166,167,0.00,0.8281834767964071,0.0
167,168,0.00,0.8597412109375,0.0
168,169,0.00,0.8307079789201184,0.005917159763313609
169,170,0.00,0.8031537224264705,0.0
170,171,0.00,0.8115005939327485,0.0
171,172,0.00,0.8162586300872093,0.0
172,173,0.00,0.7991781069364162,0.0
173,174,0.00,0.810894845545977,0.0
174,175,0.00,0.7851841517857143,0.005714285714285714
175,176,0.00,0.8170221502130682,0.0
176,177,0.00,0.7825907044491526,0.0
177,178,0.00,0.8117867801966292,0.0
178,179,0.00,0.776198062150838,0.0
179,180,0.00,0.7999240451388889,0.0
180,181,0.00,0.8086369129834254,0.0
181,182,0.00,0.7785134787087912,0.0
182,183,0.00,0.7260982325819673,0.0
183,184,0.00,0.7407438858695652,0.0
184,185,0.00,0.7403293918918918,0.0
185,186,0.00,0.721149403561828,0.0
186,187,0.00,0.7193714488636364,0.0
187,188,0.00,0.7307856133643617,0.0
188,189,0.00,0.7020037615740741,0.0
189,190,0.00,0.7035104851973685,0.0
190,191,0.00,0.7274623691099477,0.0
191,192,0.00,0.7261912027994791,0.0
192,193,0.00,0.720060516515544,0.0
193,194,0.00,0.7119744684278351,0.0
194,195,0.00,0.7074168669871795,0.0
195,196,0.00,0.7048489317602041,0.0
196,197,0.00,0.7144818765862944,0.0
197,198,0.00,0.6856899068813131,0.0
198,199,0.00,0.6999597597361809,0.0
