,Number of patterns,noise level,recall accuracy rate,perfect recall rate
0,1,0.05,0.978515625,0.0
1,2,0.05,0.97900390625,0.0
2,3,0.05,0.9736328125,0.0
3,4,0.05,0.974365234375,0.0
4,5,0.05,0.9765625,0.0
5,6,0.05,0.9757486979166666,0.0
6,7,0.05,0.9767020089285714,0.0
7,8,0.05,0.973876953125,0.0
8,9,0.05,0.9765625,0.0
9,10,0.05,0.9748046875,0.0
10,11,0.05,0.9742542613636364,0.0
11,12,0.05,0.976318359375,0.0
12,13,0.05,0.9750600961538461,0.0
13,14,0.05,0.9757254464285714,0.0
14,15,0.05,0.9739583333333334,0.0
15,16,0.05,0.9765625,0.0
16,17,0.05,0.9757008272058824,0.0
17,18,0.05,0.9752061631944444,0.0
18,19,0.05,0.9763569078947368,0.0
19,20,0.05,0.975927734375,0.0
20,21,0.05,0.9743768601190477,0.0
21,22,0.05,0.9751864346590909,0.0
22,23,0.05,0.9755434782608695,0.0
23,24,0.05,0.9748942057291666,0.0
24,25,0.05,0.9761328125,0.0
25,26,0.05,0.9768254206730769,0.0
26,27,0.05,0.9748263888888888,0.0
27,28,0.05,0.9747488839285714,0.0
28,29,0.05,0.975653286637931,0.0
29,30,0.05,0.9741861979166667,0.0
30,31,0.05,0.9741053427419355,0.0
31,32,0.05,0.97412109375,0.0
32,33,0.05,0.9747573390151515,0.0
33,34,0.05,0.9738913143382353,0.0
34,35,0.05,0.9748883928571429,0.0
35,36,0.05,0.9737955729166666,0.0
36,37,0.05,0.9752164273648649,0.0
37,38,0.05,0.9762284128289473,0.0
38,39,0.05,0.9748597756410257,0.0
39,40,0.05,0.9755126953125,0.0
40,41,0.05,0.9750857469512195,0.0
41,42,0.05,0.9749813988095238,0.0
42,43,0.05,0.9745639534883721,0.0
43,44,0.05,0.9751864346590909,0.0
44,45,0.05,0.9756510416666667,0.0
45,46,0.05,0.9747792119565217,0.0
46,47,0.05,0.9757937167553191,0.0
47,48,0.05,0.9764811197916666,0.0
48,49,0.05,0.9751474808673469,0.0
49,50,0.05,0.975546875,0.0
50,51,0.05,0.9759114583333334,0.0
51,52,0.05,0.9748910757211539,0.0
52,53,0.05,0.9761571344339622,0.0
53,54,0.05,0.9753870081018519,0.0
54,55,0.05,0.9753551136363636,0.0
55,56,0.05,0.9749407087053571,0.0
56,57,0.05,0.9747293037280702,0.0
57,58,0.05,0.9751313308189655,0.0
